instance code,patient num,instance num,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101,col102,col103,col104,col105,col106,col107,col108,col109,col110,col111,col112,col113,col114,col115,col116,col117,col118,col119,col120,col121,col122,col123,col124,col125,col126,col127,col128,col129,col130,col131,col132,col133,col134,col135,col136,col137,col138,col139,col140,col141,col142,col143,col144,col145,col146,col147,col148,col149,col150,col151,col152,col153,col154,col155,col156,col157,col158,col159,col160,col161,col162,col163,col164,col165,col166,col167,col168,col169,col170,col171,col172,col173,col174,col175,col176,col177,col178,col179,col180,col181,col182,col183,col184,col185,col186,col187,col188,col189,col190,col191,col192,col193,col194,col195,col196,col197,col198,col199,col200,col201,col202,col203,col204,col205,col206,col207,col208,col209,col210,col211,col212,col213,col214,col215,col216,col217,col218,col219,col220,col221,col222,col223,col224,col225,col226,col227,col228,col229,col230,col231,class
HC_11,11,11,1.9801,1.9802,1.9779,1.9743,1.9771,1.9791,1.9866,1.984,1.9794,1.9851,1.9781,1.9789,1.9818,1.9812,1.9844,1.9803,1.9826,1.9791,1.9859,1.9831,1.9797,1.979,1.9808,1.9821,1.9815,1.9794,1.9829,1.9817,1.9826,1.9836,1.9846,1.9805,1.9804,1.9813,1.9828,1.9823,1.9775,1.9808,1.9801,1.9812,1.9815,1.9749,1.9742,1.9805,1.9808,1.9785,1.9783,1.9833,1.9751,1.9824,1.9799,1.9782,1.9801,1.9838,1.9785,1.9718,1.9837,1.9805,1.9779,1.9843,1.9697,1.9752,1.9782,1.9749,1.9765,1.9814,1.9768,1.9789,1.9822,1.979,1.9801,1.9731,1.9766,1.9839,1.9757,1.9724,1.979,1.9783,1.9768,1.9796,1.9794,1.9736,1.9752,1.9755,1.9778,1.9772,1.9758,1.9772,1.9766,1.9729,1.9779,1.9773,1.9747,1.9769,1.9822,1.9791,1.9734,1.9732,1.9712,1.976,1.9809,1.983,1.9732,1.9755,1.9754,1.9761,1.9767,1.9787,1.9759,1.9792,1.9782,1.9835,1.9814,1.9809,1.9804,1.9795,1.9804,1.9804,1.9809,1.9854,1.9848,1.9825,1.9773,1.9859,1.9813,1.9771,1.9826,1.9827,1.9686,1.9791,1.9785,1.9809,1.9846,1.9847,1.9771,1.975,1.9851,1.9787,1.9784,1.9737,1.9771,1.9782,1.9795,1.9803,1.9776,1.9777,1.981,1.9798,1.9752,1.98,1.9781,1.9738,1.98,1.9828,1.9821,1.9847,1.976,1.9814,1.9848,1.983,1.9846,1.9829,1.9797,1.9804,1.97,1.9843,1.9815,1.9813,1.9836,1.9813,1.9774,1.9855,1.9815,1.9778,1.9749,1.9749,1.9751,1.9776,1.9795,1.9789,1.9766,1.9767,1.9794,1.9776,1.9814,1.9779,1.9801,1.9818,1.9775,1.985,1.9763,1.9793,1.9848,1.9755,1.9788,1.98,1.982,1.9802,1.9847,1.9765,1.9823,1.9757,1.9804,1.98,1.9786,1.9816,1.9818,1.9783,1.9764,1.976,1.9797,1.9798,1.9763,1.9821,1.9771,1.9782,1.9795,1.9829,1.9815,1.9849,1.9843,1.9783,1.9779,1.9835,1.9851,1.976,1.9757,1.9839,1.9842,1.9847,1.9844,0
HC_12,12,12,1.9808,1.9866,1.9835,1.9821,1.978,1.9825,1.9769,1.9756,1.9768,1.9794,1.9808,1.9794,1.9771,1.9773,1.9819,1.9813,1.9849,1.9827,1.9837,1.9837,1.9827,1.9799,1.981,1.9859,1.9805,1.978,1.9763,1.983,1.9758,1.9747,1.9781,1.9816,1.9782,1.9786,1.9837,1.9855,1.9765,1.979,1.9723,1.9796,1.9808,1.9771,1.9739,1.9783,1.9797,1.9781,1.9704,1.9732,1.9818,1.9796,1.9751,1.9764,1.9781,1.979,1.9793,1.9818,1.9801,1.9762,1.9761,1.9764,1.9797,1.9819,1.9782,1.9854,1.9812,1.9745,1.9754,1.9807,1.9762,1.9749,1.9765,1.9799,1.9789,1.9832,1.9748,1.9753,1.9814,1.9789,1.9811,1.9787,1.9722,1.9787,1.9772,1.9796,1.9801,1.978,1.9834,1.9768,1.9796,1.9799,1.9838,1.9722,1.9801,1.9731,1.9719,1.9749,1.9779,1.983,1.9786,1.9804,1.9786,1.9786,1.982,1.9787,1.9853,1.9807,1.9808,1.9828,1.9757,1.9805,1.9833,1.9823,1.9791,1.989,1.9871,1.9853,1.9795,1.9732,1.9783,1.9821,1.977,1.9744,1.9876,1.9838,1.9858,1.9878,1.9779,1.9903,1.987,1.9856,1.9775,1.981,1.9818,1.9756,1.9794,1.9816,1.9822,1.9843,1.9783,1.9774,1.9792,1.9773,1.9817,1.9748,1.9818,1.9829,1.9803,1.9809,1.9823,1.9805,1.982,1.9787,1.9863,1.9831,1.9823,1.9745,1.9853,1.983,1.982,1.9806,1.9851,1.9827,1.9806,1.9752,1.9773,1.9886,1.9844,1.9766,1.981,1.9797,1.9784,1.9805,1.9832,1.9749,1.9777,1.9861,1.9812,1.9771,1.9779,1.9788,1.9725,1.9748,1.976,1.9748,1.9823,1.9778,1.9776,1.9765,1.9782,1.9827,1.9814,1.9817,1.9783,1.9745,1.9773,1.9839,1.9799,1.9745,1.9749,1.9793,1.9827,1.983,1.9778,1.9801,1.9884,1.9765,1.9804,1.9835,1.9804,1.9811,1.9787,1.9727,1.9807,1.9754,1.9785,1.9786,1.9807,1.9787,1.9822,1.9816,1.9787,1.9758,1.976,1.9822,1.9841,1.9733,1.9771,1.9774,1.9777,1.9779,1.981,0
HC_13,13,13,1.9776,1.9783,1.985,1.9811,1.9793,1.9798,1.9751,1.9817,1.9785,1.9829,1.9865,1.9826,1.9798,1.9831,1.9838,1.9871,1.9821,1.982,1.9799,1.9761,1.9783,1.9786,1.9781,1.9809,1.9751,1.9794,1.9843,1.9827,1.9762,1.9787,1.9844,1.9873,1.9856,1.9778,1.9785,1.9785,1.9841,1.9767,1.9817,1.9802,1.9874,1.9844,1.98,1.9812,1.9802,1.982,1.9773,1.9807,1.9765,1.9762,1.9788,1.9765,1.9858,1.9781,1.9765,1.9769,1.9838,1.9777,1.9752,1.9772,1.9822,1.9766,1.9803,1.9849,1.9808,1.9873,1.9726,1.9768,1.9763,1.9836,1.9831,1.9769,1.9752,1.9807,1.9763,1.9861,1.9774,1.9807,1.9815,1.9797,1.9817,1.9701,1.9789,1.9834,1.9802,1.978,1.9766,1.9783,1.9793,1.9787,1.9783,1.9783,1.9856,1.9795,1.9777,1.9815,1.9774,1.9857,1.984,1.9826,1.9844,1.9835,1.9804,1.9832,1.9817,1.9799,1.9804,1.9774,1.9822,1.9797,1.9844,1.986,1.9826,1.9788,1.9841,1.9806,1.9849,1.98,1.9782,1.9821,1.9836,1.9819,1.9816,1.9843,1.9876,1.986,1.9805,1.9761,1.9806,1.9753,1.9841,1.9842,1.9802,1.9796,1.9833,1.9803,1.9844,1.9798,1.9834,1.9798,1.98,1.9833,1.9817,1.9834,1.9794,1.9833,1.9812,1.9836,1.9766,1.9763,1.9846,1.9819,1.9838,1.9795,1.9795,1.9772,1.9755,1.9816,1.9835,1.9818,1.9721,1.9797,1.9812,1.9823,1.9832,1.978,1.9803,1.9823,1.9786,1.9813,1.9787,1.982,1.9801,1.9815,1.9802,1.9761,1.9751,1.9793,1.9782,1.9786,1.9843,1.9852,1.9802,1.9828,1.9782,1.9753,1.9805,1.9796,1.9789,1.9764,1.9709,1.9692,1.9849,1.976,1.9798,1.9781,1.9794,1.9733,1.9756,1.9846,1.9756,1.9771,1.9752,1.9819,1.9843,1.9826,1.9776,1.9833,1.9841,1.9868,1.98,1.9817,1.9801,1.9768,1.979,1.9822,1.9855,1.9814,1.9827,1.9822,1.9838,1.9859,1.9776,1.9772,1.9831,1.9868,1.9831,1.9787,1.9788,1.9838,1.9814,0
HC_14,14,14,1.9791,1.9769,1.9793,1.9812,1.9829,1.9799,1.978,1.9823,1.9781,1.9801,1.9848,1.9762,1.9731,1.9786,1.982,1.9758,1.9759,1.9802,1.9733,1.9797,1.9791,1.9765,1.9807,1.9777,1.9786,1.9825,1.9815,1.9828,1.974,1.9794,1.9804,1.9825,1.9796,1.9799,1.9677,1.9813,1.9785,1.9805,1.9781,1.9739,1.982,1.9806,1.9741,1.9765,1.9835,1.9724,1.9799,1.9786,1.9784,1.977,1.9814,1.9813,1.9831,1.9789,1.9761,1.9835,1.9839,1.981,1.9802,1.9781,1.9797,1.9836,1.9784,1.9835,1.9818,1.9854,1.98,1.9822,1.9808,1.9823,1.9747,1.9771,1.9822,1.9795,1.9789,1.9836,1.9776,1.9809,1.9799,1.9729,1.9739,1.9773,1.9765,1.9786,1.9816,1.9753,1.9797,1.98,1.9841,1.9814,1.981,1.9787,1.9783,1.9786,1.982,1.9806,1.9787,1.9777,1.9757,1.9807,1.9795,1.9785,1.9822,1.979,1.9811,1.9794,1.9821,1.9803,1.9834,1.9811,1.9807,1.9814,1.9828,1.9862,1.9776,1.98,1.9801,1.9815,1.9805,1.9847,1.9789,1.9789,1.9808,1.9743,1.9807,1.9861,1.9839,1.9792,1.9823,1.9835,1.9786,1.9754,1.9763,1.9802,1.9835,1.9828,1.9832,1.9774,1.977,1.983,1.979,1.9816,1.9824,1.9787,1.9754,1.9817,1.982,1.9802,1.9775,1.9799,1.9792,1.9816,1.9806,1.9738,1.9759,1.977,1.9798,1.9819,1.986,1.9792,1.9822,1.9819,1.9758,1.9751,1.9745,1.9788,1.9769,1.975,1.9843,1.9826,1.982,1.9757,1.9785,1.9814,1.9818,1.9817,1.9838,1.9814,1.9783,1.9774,1.976,1.9793,1.9806,1.9787,1.9838,1.9767,1.983,1.9795,1.98,1.9764,1.9815,1.975,1.9797,1.982,1.979,1.9755,1.9798,1.9806,1.9765,1.9811,1.979,1.9795,1.9778,1.9732,1.9825,1.981,1.9782,1.9781,1.9757,1.9756,1.981,1.9783,1.9752,1.9792,1.9807,1.9806,1.9741,1.9788,1.9776,1.9806,1.9808,1.9757,1.9717,1.9734,1.9841,1.9853,1.9791,1.9826,1.982,1.9835,1.9775,0
HC_15,15,15,1.9777,1.9754,1.9743,1.9742,1.9798,1.9799,1.9736,1.9688,1.9795,1.9768,1.9838,1.9807,1.9723,1.9778,1.9824,1.9814,1.9849,1.9853,1.9743,1.9751,1.979,1.9721,1.9791,1.9758,1.9724,1.9788,1.9786,1.974,1.9647,1.9852,1.9811,1.9861,1.9842,1.9813,1.9755,1.9783,1.9774,1.984,1.9843,1.9739,1.9737,1.9781,1.9804,1.9807,1.9726,1.9782,1.9809,1.981,1.974,1.9691,1.9823,1.9826,1.9779,1.9774,1.977,1.9795,1.9844,1.9818,1.9814,1.9829,1.9782,1.9801,1.9797,1.9784,1.9734,1.9725,1.9743,1.9795,1.98,1.9825,1.9705,1.9776,1.9826,1.9838,1.9816,1.9786,1.9873,1.9787,1.9815,1.9774,1.9827,1.9757,1.9773,1.9792,1.9798,1.9825,1.982,1.981,1.982,1.9802,1.9786,1.9813,1.9741,1.9855,1.9844,1.978,1.98,1.9848,1.9823,1.9817,1.982,1.9865,1.9803,1.9816,1.9827,1.9713,1.9782,1.979,1.9682,1.9756,1.9849,1.9803,1.9686,1.9816,1.9853,1.9818,1.9818,1.9798,1.9799,1.9789,1.9818,1.9785,1.9817,1.982,1.98,1.981,1.9762,1.9744,1.9782,1.9731,1.9792,1.9841,1.9818,1.9692,1.9853,1.9823,1.9779,1.9803,1.9777,1.9813,1.9749,1.9783,1.9879,1.9818,1.9796,1.9793,1.9775,1.9751,1.9789,1.9804,1.9718,1.9809,1.9836,1.9791,1.9826,1.9769,1.9858,1.9834,1.9804,1.9791,1.9824,1.9828,1.9853,1.9769,1.9798,1.9817,1.98,1.9801,1.9816,1.9811,1.9787,1.9809,1.9802,1.9824,1.9815,1.9746,1.9809,1.9847,1.979,1.9777,1.9765,1.9791,1.9801,1.9801,1.9828,1.9787,1.9819,1.9804,1.9828,1.9775,1.9796,1.9835,1.9822,1.9837,1.984,1.9853,1.9789,1.9768,1.9795,1.9831,1.987,1.9817,1.9864,1.9817,1.9835,1.9823,1.9794,1.9865,1.9851,1.9845,1.9743,1.9791,1.9815,1.9757,1.9764,1.9771,1.9784,1.9681,1.9781,1.9813,1.9807,1.9826,1.9797,1.9811,1.9821,1.989,1.9849,1.9778,1.9765,1.975,1.9766,0
HC_16,16,16,1.9799,1.98,1.9746,1.9733,1.9797,1.9816,1.9806,1.9764,1.9818,1.9784,1.9847,1.9769,1.9809,1.9825,1.9834,1.9788,1.9821,1.9795,1.9768,1.9785,1.9781,1.9717,1.9803,1.9831,1.98,1.9781,1.9745,1.9784,1.9819,1.9754,1.9775,1.9685,1.9827,1.9781,1.9763,1.9792,1.9796,1.9774,1.9761,1.975,1.9768,1.9778,1.9846,1.9816,1.9809,1.9745,1.9716,1.974,1.9783,1.9838,1.9767,1.9727,1.9838,1.969,1.9807,1.9793,1.9833,1.9777,1.9789,1.9825,1.974,1.975,1.9803,1.9797,1.976,1.9804,1.9827,1.9814,1.9827,1.9784,1.9763,1.9756,1.9784,1.9792,1.9802,1.9765,1.9776,1.9781,1.9759,1.9755,1.9812,1.9765,1.979,1.9817,1.9787,1.9816,1.9809,1.9789,1.9733,1.9778,1.9799,1.9821,1.9802,1.976,1.9841,1.9848,1.9801,1.9825,1.9783,1.9784,1.9841,1.9805,1.9793,1.9777,1.9815,1.9776,1.9784,1.9734,1.9804,1.9771,1.9754,1.9725,1.9771,1.9864,1.9804,1.9795,1.9734,1.978,1.9808,1.983,1.9795,1.9792,1.9759,1.9815,1.9856,1.9819,1.9831,1.9804,1.9809,1.9813,1.9867,1.9732,1.9789,1.9839,1.9752,1.976,1.9839,1.9846,1.9826,1.9808,1.9848,1.9771,1.9807,1.9759,1.9797,1.9818,1.9796,1.9764,1.9799,1.9753,1.9836,1.9794,1.9856,1.9833,1.9821,1.9793,1.9832,1.979,1.987,1.984,1.9817,1.978,1.9813,1.984,1.9823,1.977,1.9793,1.9837,1.9796,1.9759,1.9817,1.9805,1.978,1.9788,1.9791,1.9764,1.983,1.9833,1.9861,1.9817,1.9757,1.9791,1.9767,1.9772,1.9796,1.9775,1.974,1.9753,1.9763,1.9756,1.9796,1.9822,1.9776,1.9796,1.9792,1.9857,1.9819,1.976,1.9784,1.9844,1.9838,1.9776,1.98,1.9768,1.9791,1.9799,1.9762,1.982,1.9851,1.973,1.9757,1.9753,1.972,1.9801,1.9791,1.972,1.9764,1.9759,1.9787,1.9843,1.9842,1.987,1.9745,1.974,1.973,1.9766,1.9785,1.9697,1.9747,1.9793,1.9812,0
HC_17,17,17,1.9771,1.9778,1.9792,1.9791,1.976,1.9793,1.9774,1.9729,1.9818,1.9773,1.9759,1.9784,1.9795,1.9846,1.9862,1.9788,1.9804,1.9802,1.9832,1.9807,1.9775,1.9838,1.9822,1.9825,1.9808,1.9842,1.9825,1.9753,1.9779,1.9808,1.977,1.98,1.9718,1.9744,1.9855,1.9837,1.9795,1.9796,1.9833,1.9789,1.9828,1.9792,1.9764,1.9762,1.9774,1.9742,1.9758,1.9821,1.9837,1.9768,1.9749,1.9747,1.977,1.9756,1.9772,1.9775,1.9811,1.9838,1.9759,1.9741,1.9814,1.9766,1.9775,1.9859,1.9853,1.9818,1.9773,1.9813,1.9837,1.9806,1.9816,1.9807,1.9814,1.9845,1.98,1.9818,1.9823,1.981,1.978,1.9842,1.9778,1.9842,1.9852,1.9841,1.9741,1.977,1.976,1.9786,1.9782,1.9779,1.9792,1.9806,1.979,1.9832,1.9781,1.9809,1.9844,1.9825,1.9809,1.9774,1.9798,1.98,1.9789,1.9787,1.9758,1.9796,1.9747,1.9754,1.9757,1.9747,1.974,1.9783,1.9738,1.9803,1.9751,1.9791,1.9794,1.9844,1.9799,1.9807,1.9773,1.9764,1.9757,1.9798,1.9791,1.9797,1.975,1.9783,1.9763,1.9801,1.9748,1.9791,1.9767,1.9751,1.9838,1.9811,1.9808,1.9795,1.9809,1.9809,1.9816,1.976,1.9806,1.9833,1.9759,1.9747,1.9741,1.9769,1.9794,1.9803,1.976,1.974,1.9779,1.9778,1.9792,1.9822,1.9754,1.9786,1.9788,1.9779,1.9836,1.979,1.9838,1.9787,1.9784,1.9779,1.9784,1.9799,1.9752,1.9746,1.9755,1.9773,1.9765,1.9808,1.9815,1.9829,1.9832,1.9804,1.9812,1.9819,1.9804,1.9868,1.9862,1.9807,1.9814,1.9856,1.9852,1.9794,1.9754,1.9793,1.981,1.9786,1.98,1.9807,1.9809,1.9787,1.9753,1.9834,1.9806,1.9859,1.979,1.977,1.9813,1.9787,1.974,1.9825,1.983,1.9776,1.9761,1.9752,1.9842,1.9838,1.981,1.9816,1.9806,1.9814,1.9756,1.9746,1.9781,1.9874,1.9812,1.977,1.9806,1.9808,1.9807,1.9825,1.9842,1.9818,1.9743,1.9712,1.9755,0
HC_18,18,18,1.9835,1.979,1.9792,1.9778,1.9771,1.9744,1.9787,1.9766,1.9724,1.9773,1.9772,1.9815,1.9843,1.982,1.9823,1.9816,1.9765,1.9725,1.978,1.9746,1.9719,1.9838,1.9756,1.9788,1.9787,1.9804,1.9706,1.9808,1.9817,1.9814,1.98,1.9754,1.983,1.9809,1.9769,1.9836,1.9814,1.9816,1.9795,1.9785,1.9806,1.9822,1.9809,1.9735,1.973,1.9815,1.984,1.9761,1.9794,1.9756,1.9792,1.9824,1.9799,1.9768,1.9824,1.9832,1.9824,1.9806,1.984,1.984,1.9802,1.9773,1.9782,1.977,1.9765,1.9847,1.9812,1.979,1.9758,1.9783,1.9778,1.9778,1.9806,1.9804,1.9834,1.9778,1.9832,1.9789,1.9805,1.9781,1.9764,1.9819,1.9798,1.9785,1.9816,1.9785,1.983,1.9767,1.9853,1.9828,1.9813,1.9808,1.9773,1.9817,1.9792,1.9827,1.979,1.9807,1.9852,1.9811,1.9831,1.9796,1.9816,1.9784,1.9743,1.9783,1.9728,1.9808,1.9691,1.982,1.9714,1.9882,1.9807,1.9827,1.9764,1.972,1.9821,1.9779,1.9866,1.9817,1.9774,1.9754,1.9736,1.9816,1.981,1.9761,1.9861,1.9721,1.977,1.9803,1.9811,1.9713,1.9742,1.9773,1.9825,1.9801,1.987,1.9795,1.9736,1.9769,1.9794,1.9837,1.9797,1.98,1.9747,1.9751,1.9762,1.9797,1.9801,1.981,1.9791,1.9756,1.9796,1.9778,1.9784,1.9776,1.9793,1.978,1.9821,1.9744,1.9785,1.9775,1.981,1.9857,1.9839,1.9759,1.9801,1.983,1.9796,1.9731,1.9852,1.9816,1.9811,1.989,1.9762,1.9815,1.9799,1.9784,1.9807,1.9828,1.975,1.9807,1.9801,1.9802,1.9824,1.9746,1.977,1.9824,1.9829,1.9792,1.9737,1.9778,1.9805,1.9846,1.9838,1.9765,1.9865,1.9843,1.9837,1.9827,1.9821,1.9854,1.9816,1.9848,1.9789,1.9769,1.9766,1.9811,1.9739,1.9732,1.977,1.9747,1.9766,1.9781,1.9821,1.9779,1.9794,1.9794,1.9818,1.9834,1.9848,1.977,1.9793,1.9871,1.9857,1.9818,1.982,1.9802,1.9813,1.9825,1.9794,0
AD_1,19,19,1.9732,1.9734,1.9753,1.9682,1.9783,1.9838,1.9762,1.9732,1.9749,1.9776,1.9848,1.9764,1.976,1.9838,1.983,1.9809,1.9831,1.9832,1.9831,1.9832,1.9803,1.9789,1.9751,1.9796,1.975,1.9763,1.9788,1.9813,1.9671,1.9837,1.9839,1.9859,1.9796,1.9754,1.9789,1.9832,1.9833,1.9837,1.9762,1.9803,1.9826,1.9811,1.9808,1.98,1.9808,1.9824,1.9833,1.9818,1.9809,1.9692,1.9801,1.9809,1.9788,1.9796,1.9803,1.9806,1.9836,1.9826,1.9763,1.981,1.981,1.9865,1.9828,1.9779,1.9784,1.9804,1.9737,1.9784,1.9843,1.9772,1.9693,1.9769,1.9783,1.9827,1.9771,1.977,1.9842,1.9829,1.9809,1.9809,1.9741,1.9851,1.9857,1.9819,1.9771,1.9774,1.9795,1.9732,1.9752,1.9825,1.9782,1.9714,1.9757,1.9792,1.9784,1.9793,1.978,1.9771,1.9804,1.9771,1.9719,1.9796,1.9816,1.9814,1.9789,1.9763,1.9809,1.98,1.9591,1.9784,1.9833,1.9798,1.958,1.9785,1.9785,1.9833,1.9813,1.9707,1.9793,1.9857,1.9819,1.9841,1.983,1.9854,1.9833,1.9823,1.9803,1.9788,1.9733,1.9668,1.9856,1.9814,1.9759,1.9638,1.9796,1.9758,1.9856,1.9767,1.9703,1.9826,1.9809,1.9798,1.9836,1.9832,1.983,1.9816,1.9824,1.9763,1.9759,1.9853,1.9765,1.9795,1.983,1.9752,1.9653,1.9779,1.9862,1.9862,1.9797,1.9751,1.9792,1.9834,1.9896,1.9846,1.9777,1.9821,1.9828,1.984,1.9767,1.9796,1.9784,1.9739,1.9763,1.9834,1.98,1.9678,1.9786,1.9791,1.9831,1.9778,1.9771,1.9811,1.9839,1.9847,1.9859,1.9838,1.9879,1.9816,1.9735,1.974,1.977,1.9755,1.9668,1.9821,1.9812,1.9821,1.9684,1.9774,1.9795,1.9806,1.9763,1.9789,1.9807,1.9844,1.9823,1.9834,1.9793,1.9776,1.9772,1.9795,1.9831,1.9813,1.9814,1.9769,1.9831,1.9828,1.9854,1.9874,1.981,1.9879,1.9803,1.9829,1.9838,1.9754,1.9883,1.9775,1.9821,1.9819,1.9843,1.9844,1.9819,1
AD_2,20,20,1.9764,1.9744,1.9794,1.9643,1.9744,1.9761,1.9809,1.9742,1.9744,1.978,1.9772,1.9791,1.9804,1.9807,1.981,1.977,1.9794,1.9774,1.9796,1.9805,1.9773,1.9751,1.976,1.9762,1.9708,1.9787,1.9842,1.9747,1.9738,1.976,1.9803,1.9766,1.9775,1.9714,1.9801,1.9824,1.9783,1.9765,1.9764,1.9768,1.9738,1.9726,1.9769,1.9762,1.9757,1.9745,1.9744,1.9782,1.9816,1.9789,1.9797,1.977,1.9795,1.9753,1.9806,1.9774,1.9746,1.9769,1.9756,1.9755,1.9749,1.9765,1.9767,1.9782,1.978,1.9755,1.9745,1.9759,1.9816,1.9796,1.9748,1.9782,1.9714,1.98,1.9763,1.9806,1.98,1.9743,1.9745,1.9776,1.9746,1.9762,1.9766,1.973,1.9767,1.9819,1.9796,1.986,1.984,1.9812,1.9843,1.9832,1.9827,1.986,1.9787,1.9795,1.9793,1.9769,1.9752,1.9798,1.9809,1.9809,1.9756,1.9758,1.9782,1.9753,1.9824,1.9851,1.9832,1.9756,1.9818,1.9848,1.9847,1.9802,1.9795,1.981,1.9864,1.9826,1.9783,1.9822,1.9876,1.9832,1.9796,1.9813,1.9775,1.9795,1.9802,1.979,1.9778,1.9798,1.9854,1.978,1.9847,1.9807,1.9839,1.9811,1.9834,1.9805,1.9799,1.9828,1.9785,1.9797,1.9839,1.983,1.9858,1.9862,1.9836,1.9773,1.9766,1.9748,1.9791,1.9755,1.9832,1.9828,1.9805,1.9817,1.9762,1.9824,1.9834,1.9771,1.977,1.9808,1.9854,1.9771,1.979,1.9826,1.9812,1.976,1.9709,1.971,1.9748,1.9818,1.9793,1.9849,1.9813,1.9789,1.9754,1.9788,1.9763,1.9793,1.9755,1.9849,1.9821,1.9775,1.9867,1.9853,1.9784,1.9815,1.984,1.9815,1.9834,1.9813,1.9754,1.9822,1.9844,1.9836,1.9815,1.9809,1.9816,1.9846,1.9727,1.986,1.9831,1.983,1.9795,1.9801,1.9822,1.9786,1.9804,1.9804,1.9744,1.9755,1.9709,1.9744,1.9712,1.9824,1.9795,1.9828,1.9805,1.977,1.9821,1.9771,1.9775,1.9826,1.98,1.9802,1.972,1.977,1.9819,1.9837,1.978,1
AD_3,21,21,1.9826,1.9772,1.9753,1.98,1.9792,1.9823,1.9831,1.9746,1.9807,1.9788,1.9836,1.981,1.9751,1.9846,1.9789,1.9807,1.9775,1.9773,1.9824,1.9796,1.9856,1.9767,1.9794,1.9808,1.976,1.9845,1.9821,1.9837,1.9777,1.9812,1.9837,1.9843,1.9779,1.9776,1.9757,1.9864,1.9826,1.9822,1.9837,1.977,1.9814,1.9839,1.9815,1.9852,1.9859,1.9771,1.976,1.9826,1.9797,1.9771,1.9754,1.9751,1.9854,1.9821,1.9804,1.9792,1.9768,1.9805,1.9772,1.9767,1.9804,1.9789,1.9766,1.9797,1.9746,1.978,1.9785,1.9756,1.9786,1.9792,1.9729,1.9813,1.9802,1.9861,1.9789,1.9777,1.9793,1.9821,1.9784,1.983,1.9824,1.9774,1.9782,1.9786,1.9857,1.9805,1.9835,1.9813,1.9837,1.983,1.981,1.9768,1.9811,1.9867,1.9828,1.9783,1.9775,1.978,1.9844,1.9811,1.9862,1.9835,1.981,1.9814,1.9818,1.9757,1.9778,1.97,1.9728,1.9726,1.9733,1.9765,1.9662,1.9805,1.9812,1.9762,1.9711,1.9735,1.9794,1.9795,1.9808,1.9757,1.9738,1.9806,1.9785,1.9822,1.9878,1.9886,1.9913,1.984,1.9828,1.9854,1.9874,1.9868,1.983,1.9763,1.9849,1.9866,1.9837,1.9796,1.9759,1.9816,1.9795,1.9868,1.9776,1.9834,1.9885,1.9799,1.9792,1.9834,1.9805,1.9831,1.9796,1.9822,1.9752,1.9811,1.9823,1.9786,1.9821,1.9758,1.9859,1.9853,1.9776,1.9781,1.9758,1.9838,1.9829,1.9789,1.9719,1.9747,1.9786,1.9712,1.9759,1.9765,1.98,1.9748,1.9735,1.9803,1.9835,1.9747,1.978,1.98,1.9828,1.9828,1.9744,1.9766,1.9791,1.9779,1.9783,1.9776,1.9792,1.9784,1.977,1.979,1.9832,1.9822,1.978,1.9783,1.9803,1.9842,1.9757,1.9781,1.9789,1.9822,1.9802,1.9766,1.9802,1.9823,1.9833,1.9864,1.9771,1.9789,1.9786,1.9785,1.977,1.9764,1.9809,1.9751,1.9806,1.9824,1.982,1.9804,1.9875,1.9795,1.9811,1.9818,1.9765,1.9784,1.9753,1.9692,1.9733,1
